sample_fraction_coded,Batch,"Nonanedioic acid, monomethylester_1","Nonanedioic acid, monomethylester_2",n-C12:0,i-C14:0,n-C14:0,m-C15:0_1,m-C15:0_2,i-C15:0,ai-C15:0,n-C15:0,m-C16:0_1,C16:1 w7 (trans),i-C16:0,C16:2,C16:1 w7 (c) + C16:1 w9,C16:1 w7 (cis),C16:1 w5,n-C16:0,diacid_unknown1,10_14_DiMe_C17,C17:1 w8 (t) + 12Me-C17:0,10Me_C17:0,m-C17:0 eh,C17:1 w8 (trans),C17:1 w8 (cis),C17_cyclic,m-C17:0_2,i-C17:0,ai-C17:0,i-C18:0,ai-C18:0,m-C18:0_1,m-C18:0_2,C18:1 w9,C18:2_1,C18:2_2,C18:1 w7,unknown2,C18:1_1,n-C18:0,i-C19:0,m-C19:0_1 + i-C19:0,m-C19:0,C19:1_3,m-C20:0_1,n-C19:0 + m-C20:0_3,m-C20:0_3,diacid_unknown3,C16-diacid,C20:1_1,n-C20:0,m-C22:0-C2,m-C23:0-C2,n-C21:0,m-C23:0-C2 + n-C21:0,C18-diacid,n-C22:0,n-C23:0,C20-diacid,m-C27:0-C2,n-C24:0,n-C25:0,diacid_unknown7,C22-diacid,n-C26:0,sterol6,n-C28:0
B090-20180731-A-01-P2,A7_1,NA,NA,NA,NA,-21.257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-25.625,NA,-23.076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B090-20180731-A-01-P2,A7_1,NA,NA,NA,NA,-21.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-25.283,NA,-22.854,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B090-20180731-B-01-P2,A7_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-30.3,-30.809,NA,NA,-26.002,NA,-24.055,NA,-29.821,NA,NA,NA,-28.648,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B090-20180731-B-01-P2,A7_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-30.224,-30.367,NA,NA,-26.216,NA,-24.125,NA,-29.934,NA,NA,NA,-29.431,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L490-20180729-B-01-P2,A7_1,NA,NA,NA,NA,-27.042,NA,NA,-32.431,NA,NA,NA,-32.445,-33.173,NA,NA,-28.459,NA,-24.268,NA,-32.248,NA,NA,NA,-32.232,NA,NA,NA,NA,NA,-35.094,NA,NA,NA,NA,NA,NA,-17.451,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L490-20180729-B-01-P2,A7_1,NA,NA,NA,NA,-26.975,NA,NA,-32.424,NA,NA,NA,-32.558,-33.368,NA,NA,-28.323,NA,-23.639,NA,-32.205,NA,NA,NA,-32.43,NA,NA,NA,NA,NA,-35.685,NA,NA,NA,NA,NA,NA,-17.693,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L490-20180729-C-08-P2,A7_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-25.435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-13.23,-15.369,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L490-20180729-C-08-P2,A7_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-21.371,NA,-21.502,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-15.40845035,NA,NA,-13.878,-15.641,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L490-20180729-G-11-P2,A7_1,NA,NA,NA,NA,-27.053,NA,NA,-31.255,NA,NA,NA,-32.884,-33.435,NA,NA,-28.729,NA,-23.763,NA,-32.42,NA,NA,NA,-32.158,NA,NA,NA,NA,NA,-35.183,NA,NA,NA,NA,NA,NA,-17.539,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L490-20180729-G-11-P2,A7_1,NA,NA,NA,NA,-26.097,NA,NA,-31.046,NA,NA,NA,-32.792,-33.381,NA,NA,-28.626,NA,-23.823,NA,-32.537,NA,NA,NA,-32.393,NA,NA,NA,NA,NA,-34.375,NA,NA,NA,NA,NA,NA,-17.349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L480-20171108-D-51-P2,A6_1,NA,NA,NA,NA,-25.495,NA,NA,-31.053,NA,NA,NA,-31.606,-32.896,NA,NA,-29.835,NA,-25.417,NA,-32.023,NA,NA,NA,-31.469,NA,NA,-26.06,-31.859,-30.295,-33.301,-30.202,NA,NA,NA,NA,NA,-15.953,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L480-20171108-D-51-P2,A6_1,NA,NA,NA,NA,-26.96,NA,NA,-31.094,NA,NA,NA,-31.617,-32.953,NA,NA,-30.034,NA,-25.548,NA,-31.789,NA,NA,NA,-31.281,NA,NA,-27.038,-32.323,-29.974,-34.45,-30.522,NA,NA,NA,NA,NA,-16.643,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L480-20171108-D-61-P2,A6_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-30.806,-30.508,NA,NA,-28.508,NA,NA,NA,NA,NA,NA,NA,-30.343,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L480-20171108-D-61-P2,A6_1,NA,NA,NA,NA,NA,NA,NA,-29.668,NA,NA,NA,-31.611,-31.268,NA,NA,-28.079,NA,NA,NA,NA,NA,NA,NA,-30.758,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L480-20171108-D-80-P2,A6_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-31.035,-30.33,NA,NA,-28.851,NA,-24.771,NA,-29.444,NA,NA,NA,-30.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L480-20171108-D-80-P2,A6_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-31.453,-31.348,NA,NA,-28.738,NA,-23.576,NA,-29.954,NA,NA,NA,-30.082,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L480-20171113-E-03-P2,A6_1,NA,NA,NA,NA,-23.315,NA,NA,-16.491,-15.549,NA,NA,-21.0246,-19.8536,NA,NA,-23.693,-19.326,-20.175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-17.26746871,-16.281,NA,NA,-19.066,NA,NA,-19.066,NA,NA,NA,NA,NA,NA,NA,-19.772,NA,NA,NA,NA,NA,-19.488,NA,NA,NA,-20.355,NA,NA,NA,NA,NA,-21.611
L480-20171113-E-03-P2,A6_1,NA,NA,NA,NA,-23.575,NA,NA,-16.982,-15.341,NA,NA,-19.7096,-18.9846,NA,NA,-25.283,-19.603,-20.756,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-18.21675468,-15.725,NA,NA,-17.952,NA,NA,-17.952,NA,NA,NA,NA,NA,NA,NA,-16.457,NA,NA,NA,NA,NA,-18.057,NA,NA,NA,-20.392,NA,NA,NA,NA,NA,-20.074
V460-20180730-C-54-P2,A7_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-30.129,-27.584,NA,NA,-20.765,NA,-14.956,NA,-29.92,NA,NA,NA,-28.628,NA,NA,NA,NA,NA,-36.734,NA,NA,NA,NA,NA,-15.40845035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V460-20180730-C-54-P2,A7_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-30.82,-27.343,NA,NA,NA,NA,-15.22,NA,NA,NA,NA,NA,-28.758,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-15.299678,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V460-20180731-E-01-P2,A7_1,NA,NA,NA,NA,-23.41,NA,NA,-15.67,NA,NA,NA,NA,-22.68,NA,NA,NA,NA,-19.454,-18.038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-14.322,NA,NA,NA,NA,NA,-18.107,NA,NA,NA,NA,NA,NA,NA,-16.651,-16.991,NA,-16.02,NA,NA,NA,NA,NA,-15.739,NA,NA,NA,-18.864,NA,NA,-15.729,-18.84,NA,NA
V460-20180731-E-01-P2,A7_1,NA,NA,NA,NA,-23.52,NA,NA,-15.841,NA,NA,NA,NA,-23.034,NA,NA,NA,NA,-19.36,-14.822,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-14.822,NA,NA,NA,NA,NA,-18.065,NA,NA,NA,NA,NA,NA,NA,-16.323,-17.356,NA,-16.761,NA,NA,NA,NA,NA,-15.984,NA,NA,NA,-18.778,NA,NA,-15.68,-18.575,NA,NA
V460-20180731-F-04-P2,A7_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-31.23,-29.559,NA,NA,-26.854,NA,-18.242,NA,-29.06,NA,NA,NA,-30.043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-18.508,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V460-20180731-F-04-P2,A7_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-31.359,-30.463,NA,NA,-26.856,NA,-18.293,NA,-29.251,NA,NA,NA,-30.352,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-18.791,NA,NA,-10.473,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V460-20180731-I-07-P2,A7_1,NA,NA,NA,NA,-22.282,NA,NA,-26.235,NA,NA,NA,-32.777,-27.19,NA,NA,-27.906,NA,-22.455,NA,NA,NA,NA,NA,-26.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-16.485,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V460-20180731-I-07-P2,A7_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-27.438,NA,-22.419,NA,NA,NA,NA,NA,-27.941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-18.448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B140-20180802-A-03-P2,A7_1,NA,NA,NA,NA,NA,NA,NA,-35.225,NA,NA,NA,-31.719,-28.655,NA,NA,-31.247,NA,-20.443,NA,NA,NA,-30.124,-13.719,NA,-32.456,NA,NA,NA,NA,NA,NA,NA,-32.566,NA,NA,-24.04101965,-22.668,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B140-20180802-A-03-P2,A7_1,NA,NA,NA,NA,NA,NA,NA,-35.529,NA,NA,NA,-30.937,-29.054,NA,NA,-31.197,NA,-20.075,NA,NA,NA,-30.132,-13.937,NA,-32.595,NA,NA,NA,NA,NA,NA,NA,-32.685,NA,NA,-23.36860876,-22.008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L853-20180731-G-01-P2,A7_1,NA,NA,NA,NA,NA,NA,NA,-24.293,NA,NA,NA,-28.629,-28.054,NA,NA,NA,NA,-18.061,NA,-28.351,NA,NA,NA,NA,NA,NA,NA,-23.401,NA,-27.434,NA,-21.586,NA,NA,NA,-15.04257971,-15.179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L853-20180731-G-01-P2,A7_1,NA,NA,NA,NA,NA,NA,NA,-22.803,NA,NA,NA,-30.54,-27.308,NA,NA,NA,NA,-17.228,NA,-27.911,NA,NA,NA,NA,NA,NA,NA,-23.464,NA,-26.668,NA,-18.827,NA,NA,NA,-14.94369576,-15.082,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L853-20180801-A-03-P2,A7_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-26.066,NA,-24.206,NA,NA,NA,NA,NA,NA,NA,-27.233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-15.518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L853-20180801-A-03-P2,A7_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-26.337,NA,-24.731,NA,NA,NA,NA,NA,NA,NA,-26.658,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-15.809,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L853-20180801-F-01-P2,A7_1,NA,NA,NA,NA,-24.711,NA,NA,-31.531,NA,NA,NA,NA,NA,NA,NA,-29.211,NA,-26.807,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-20.576,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L853-20180801-F-01-P2,A7_1,NA,NA,NA,NA,-23.63,NA,NA,-31.425,NA,NA,NA,NA,NA,NA,NA,-29.242,NA,-26.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-20.694,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L853-20180801-F-01-P3,A7_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-29.127,NA,-26.754,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-20.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L853-20180801-F-01-P3,A7_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-29.126,NA,-26.777,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-19.976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L853-20180801-F-01-P4,A7_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-28.476,NA,-26.264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-19.223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L853-20180801-F-01-P4,A7_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-28.477,NA,-26.569,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-20.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L820-20180802-B-03-P2,A7_1,NA,NA,NA,NA,-26.062,NA,NA,-30.964,NA,NA,NA,-30.681,-31.483,NA,NA,-28.973,NA,-26.041,NA,-30.484,NA,NA,NA,-30.922,NA,NA,NA,NA,NA,-32.826,NA,NA,NA,NA,NA,NA,-19.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L820-20180802-B-03-P2,A7_1,NA,NA,NA,NA,-26.047,NA,NA,-30.559,NA,NA,NA,-30.533,-31.486,NA,NA,-28.838,NA,-25.564,NA,-30.287,NA,NA,NA,-30.945,NA,NA,NA,NA,NA,-32.844,NA,NA,NA,NA,NA,NA,-18.117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L780-20171109-A-36-P2,A6_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-29.604,NA,-22.124,NA,NA,NA,NA,NA,-27.859,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-22.741,NA,NA,-9.118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L780-20171109-A-36-P2,A6_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-30.05,NA,-22.216,NA,NA,NA,NA,NA,-27.411,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-21.353,NA,NA,-11.818,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L300-20171027-B-20-P2,A6_1,NA,NA,-18.646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-17.252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-17.92999121,-17.86077244,-18,NA,NA,-18.642,NA,NA,NA,NA,NA,NA,-18.083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L300-20171027-B-20-P2,A6_1,NA,NA,-18.628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-17.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-18.26619666,-19.36380856,-19.497,NA,NA,-18.565,NA,NA,NA,NA,NA,NA,-18.775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L300-20171111-C-48-P2,A6_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-33.842,-32.924,NA,NA,-28.376,NA,-19.391,NA,-34.764,NA,NA,NA,-31.599,NA,NA,NA,NA,NA,-35.393,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L300-20171111-C-48-P2,A6_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-34.383,-33.311,NA,NA,-28.278,NA,-16.609,NA,-34.358,NA,NA,NA,-32.106,NA,NA,NA,NA,NA,-34.498,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
