sample_fraction_coded,Batch,"Nonanedioic acid, monomethylester_1","Nonanedioic acid, monomethylester_2",n-C12:0,i-C14:0,n-C14:0,m-C15:0_1,m-C15:0_2,i-C15:0,ai-C15:0,n-C15:0,m-C16:0_1,C16:1 w7 (trans),i-C16:0,C16:2,C16:1 w7 (c) + C16:1 w9,C16:1 w7 (cis),C16:1 w5,n-C16:0,diacid_unknown1,10_14_DiMe_C17,C17:1 w8 (t) + 12Me-C17:0,10Me_C17:0,m-C17:0 eh,C17:1 w8 (trans),C17:1 w8 (cis),C17_cyclic,m-C17:0_2,i-C17:0,ai-C17:0,i-C18:0,ai-C18:0,m-C18:0_1,m-C18:0_2,C18:1 w9,C18:2_1,C18:2_2,C18:1 w7,unknown2,C18:1_1,n-C18:0,i-C19:0,m-C19:0_1 + i-C19:0,m-C19:0,C19:1_3,m-C20:0_1,n-C19:0 + m-C20:0_3,m-C20:0_3,diacid_unknown3,C16-diacid,C20:1_1,n-C20:0,m-C22:0-C2,m-C23:0-C2,n-C21:0,m-C23:0-C2 + n-C21:0,C18-diacid,n-C22:0,n-C23:0,C20-diacid,m-C27:0-C2,n-C24:0,n-C25:0,diacid_unknown7,C22-diacid,n-C26:0,sterol6,n-C28:0
L300-20180802-A-02-P2,A7_1,NA,NA,NA,NA,NA,NA,NA,-30.411,NA,NA,NA,-31.275,-31.677,NA,NA,-26.46,NA,NA,NA,-30.705,NA,NA,NA,-30.412,NA,NA,NA,NA,-29.413,-33.597,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L300-20180802-A-02-P2,A7_1,NA,NA,NA,NA,NA,NA,NA,-30.381,NA,NA,NA,-31.141,-31.545,NA,NA,-25.956,NA,NA,NA,-30.495,NA,NA,NA,-30.181,NA,NA,NA,NA,-28.576,-32.152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L780-20190811-F-01-P2,A7_2,-23.042,-21.469,NA,NA,-25.55,NA,NA,-14.642,-12.726,-22.741,NA,-18.344,-18.897,NA,NA,-15.62,NA,-23.194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-17.914,-21.009,NA,-16.476,NA,NA,-21.895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-18.153,NA,NA,-20.442,NA,NA,-18.649,NA,NA,NA,-19.494,NA,NA,NA,NA,NA,NA
L780-20190811-F-01-P2,A7_2,-22.425,-21.496,NA,NA,-25.606,NA,NA,-13.825,-13.415,-22.901,NA,-18.408,-18.895,NA,NA,-15.842,NA,-23.388,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-18.25,-20.773,NA,-16.447,NA,NA,-22.135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-21.739,NA,NA,-18.246,NA,NA,-18.695,NA,NA,NA,-19.451,NA,NA,NA,NA,NA,NA
L480-20190805-F-01-P2,A7_2,NA,NA,-24.1,-13.237,-23.342,NA,NA,-15.544,-14.526,-13.193,-19.288,-20.451,-19.185,NA,-20.372,NA,-17.122,-23.153,NA,NA,-17.16,NA,NA,NA,-23.283,-19.496,NA,-17.76,-16.145,-21.654,-20.063,NA,-17.078,-17.883,NA,-19.676,-18.494,NA,NA,-21.39,NA,-15.977,NA,-23.497,NA,-20.994,NA,NA,-18.867,-19.517,-22.061,-16.887,-22.104,-20.634,NA,-26.244,-20.637,-22.958,-19.107,NA,-21.487,-25.226,NA,NA,-20.849,NA,NA
L480-20190805-F-01-P2,A7_2,NA,NA,-24.412,-17.522,-23.734,NA,NA,-16.594,-15.711,-13.316,-18.909,-19.862,-19.249,NA,-20.489,NA,-17.381,-23.849,NA,NA,-18.018,NA,NA,NA,-24.155,-19.103,NA,-17.706,-16.211,-20.503,-20.002,NA,-17.277,-18.3,NA,-20.423,-18.242,NA,NA,-23.333,NA,-13.016,NA,-24.046,NA,-20.876,NA,NA,-19.13,-18.99,-22.164,-17.312,-22.025,-18.43,NA,-20.099,-21.494,-21.629,-21.167,NA,-21.75,-23.005,NA,NA,-23.194,NA,NA
L820-20190808-E-01-P2,A7_2,NA,NA,NA,NA,-24.155,-15.132,NA,-15.481,-14.724,-21.809,NA,-19.446,-18.962,NA,-18.311,NA,-17.044,-20.932,NA,NA,-16.701,NA,NA,NA,-24.908,-17.318,NA,-16.409,-15.003,-19.909,NA,NA,-17.085,-16.791,-19.317,NA,-17.283,NA,NA,-19.374,NA,-15.898,NA,-20.434,NA,NA,NA,NA,-18.761,NA,-20.94,NA,-18.925,NA,NA,NA,-20.759,-22.473,-21.8,NA,-22.174,-23.752,NA,NA,-23.808,NA,NA
L820-20190808-E-01-P2,A7_2,NA,NA,NA,NA,-23.513,-16.372,NA,-15.198,-14.576,NA,-22.014,-18.845,-19.112,NA,-18.183,NA,-17.159,-20.974,NA,NA,-16.649,NA,NA,NA,-24.49,-16.604,NA,-16.964,-15.557,-18.89,-19.263,NA,-18.022,-16.703,-18.839,NA,-17.375,NA,NA,-19.752,NA,-15.223,NA,-21.43,NA,NA,NA,NA,-19.368,-17.919,-21.04,NA,-21.093,-19.475,NA,NA,-21.061,-20.667,-20.614,NA,-22.121,-24.895,NA,NA,-23.185,NA,NA
L820-20190808-B-03-P2,A7_2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-19.503,-19.442,-19.831,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-17.127,-20.499,NA,-18.865,NA,NA,-19.731,NA,NA,NA,NA,NA,NA,NA,NA,-17.718,NA,-19.76,NA,NA,NA,NA,NA,-18.757,NA,NA,NA,-21.536,NA,NA,NA,NA,NA,NA
L820-20190808-B-03-P2,A7_2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-19.064,-19.405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-18.199,NA,NA,-20.92,NA,NA,-20.416,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-18.623,NA,NA,NA,-21.416,NA,NA,NA,NA,NA,NA
V460-20190810-A-09-P2,A7_2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-16.873,NA,NA,NA,NA,-17.134,NA,NA,NA,-17.528,NA,NA,NA,-16.014,NA,-24.726,NA,NA,NA,NA,-14.247,-10.731,NA,NA,NA,NA,NA,-13.889,-13.693,NA,NA,-13.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V460-20190810-A-09-P2,A7_2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V460-20190810-A-32-P2,A7_2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-14.64,NA,NA,-24.229,NA,-13.109,NA,NA,NA,NA,NA,-19.378,NA,-17.741,NA,NA,NA,NA,NA,NA,NA,-11.597,NA,NA,-13.687,NA,-13.386,-12.791,NA,NA,NA,-14.628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V460-20190810-A-32-P2,A7_2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-14.581,NA,NA,-23.927,NA,-13.181,NA,NA,NA,NA,NA,-18.887,NA,-17.238,NA,NA,NA,NA,NA,NA,NA,-11.712,NA,NA,-13.886,NA,-15.014,-13.24,NA,NA,NA,-13.706,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L480-20190811-E-01-P2,A7_2,NA,NA,NA,NA,-21.552,NA,NA,-16.421,-14.836,-23.272,NA,-24.006,-21.731,NA,-17.346,NA,-19.166,-19.716,NA,NA,-20.203,NA,NA,NA,-20.128,-17.184,NA,-19.019,-16.463,-19.158,-28.57,NA,-17.517,-16.803,-19.915,NA,-18.129,NA,NA,-19.502,NA,NA,NA,-20.3,-17.347,NA,NA,NA,-18.688,-17.758,-20.001,NA,-21.39,-19.269,NA,-21.747,-19.141,-21.278,-19.186,NA,-21.052,-22.404,-21.689,NA,-20.907,-27.49,NA
L480-20190811-E-01-P2,A7_2,NA,NA,NA,NA,-21.526,NA,NA,-16.642,-15.206,-22.325,NA,-23.72,-21.934,NA,-16.618,NA,-19.175,-19.495,NA,NA,-20.072,NA,NA,NA,-19.911,-17.553,NA,-18.906,-16.578,-19.839,-28.376,NA,-17.67,-16.915,-19.969,NA,-18.32,NA,NA,-20.186,NA,NA,NA,-23.649,-16.327,NA,NA,NA,-18.059,-16.242,-19.233,NA,-21.047,-19.448,NA,NA,-19.923,-21.065,-17.896,NA,-21.307,-21.354,-20.916,NA,-24.029,NA,NA
B090-20190804-G-01-P2,A7_2,NA,NA,NA,NA,-22.23,-15.847,NA,-15.652,-14.548,-21.908,-19.295,-18.601,-19.384,-19.748,-19.628,NA,-16.321,-19.581,NA,-20.486,-17.113,NA,NA,NA,-23.008,-20.241,NA,-17.35,-15.644,-19.21,NA,NA,-17.851,-18.302,-20.695,NA,-16.818,NA,NA,-18.534,NA,-16.649,NA,-21.578,NA,NA,NA,NA,-20.869,-23.437,-20.823,NA,-21.489,-20.175,NA,NA,-20.917,-22.268,NA,NA,-21.638,-24.277,NA,-22.616,-26.431,NA,NA
B090-20190804-G-01-P2,A7_2,NA,NA,NA,-17.977,-22.072,-15.128,NA,-15.784,-14.72,-21.237,-18.729,-19.615,-18.92,-19.378,-19.637,NA,-16.167,-19.509,NA,-22.936,-16.918,NA,NA,NA,-21.892,-20.26,NA,-16.633,-15.58,-19.19,NA,NA,-18.043,-18.493,-20.328,NA,-17.501,NA,NA,-18.856,NA,-16.552,NA,-21.412,NA,NA,NA,NA,-21.182,-21.945,-20.659,NA,-20.552,-18.868,NA,NA,-21.212,-23.477,NA,NA,-21.025,-23.134,NA,-20.608,-24.747,NA,NA
L300-20190804-F-01-P2,A7_2,NA,NA,NA,NA,-24.333,NA,NA,-17.395,-15.475,NA,NA,NA,-20.907,NA,NA,-23.022,-14.753,-22.124,NA,NA,-18.948,NA,NA,NA,NA,-21.913,NA,-18.519,-16.275,NA,NA,NA,NA,-17.649,-21.491,NA,-18.853,NA,NA,-21.142,NA,-16.594,NA,-22.199,NA,NA,NA,NA,-18.265,NA,-20.342,NA,NA,NA,-17.469,NA,-20.018,-19.897,NA,NA,-19.377,NA,NA,-21.609,-24.668,NA,NA
L300-20190804-F-01-P2,A7_2,NA,NA,NA,NA,-24.739,NA,NA,-17.435,-14.952,NA,NA,NA,-21.154,NA,NA,-22.809,-16.657,-22.066,NA,NA,-18.226,NA,NA,NA,NA,-21.614,NA,-19.707,-16.675,NA,NA,NA,NA,-17.332,-20.911,NA,-18.906,NA,NA,-20.852,NA,-15.522,NA,-21.815,NA,NA,NA,NA,-18.645,NA,-20.734,NA,NA,NA,-17.499,NA,-19.807,-20.094,NA,NA,-20.02,NA,NA,-18.626,-24.027,NA,NA
L480-20190805-A-11-P2,A7_2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-32.111,-31.927,NA,NA,-30.475,NA,-24.725,NA,-33.63,-26.922,NA,NA,NA,NA,NA,NA,NA,NA,-32.756,NA,NA,NA,NA,NA,NA,-18.089,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L480-20190805-A-11-P2,A7_2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-32.254,-32.233,NA,NA,-30.572,NA,-24.362,NA,-33.724,-26.578,NA,NA,NA,NA,NA,NA,NA,NA,-32.831,NA,NA,NA,NA,NA,NA,-18.041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B140-20190808-B-07-P2,A7_2,NA,NA,NA,NA,NA,NA,NA,-31.154,NA,NA,NA,-32.439,-32.398,NA,NA,-28.476,NA,NA,NA,-33.679,-31.127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B140-20190808-B-07-P2,A7_2,NA,NA,NA,NA,NA,NA,NA,-30.467,NA,NA,NA,-32.641,-32.655,NA,NA,-27.845,NA,NA,NA,-33.572,-30.791,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L780-20190802-A-02-P2,A7_2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-33.136,-33.361,NA,NA,-25.77,NA,-19.051,NA,-32.27,NA,NA,NA,-28.711,NA,NA,NA,NA,NA,-36.271,NA,NA,NA,-17.202,NA,NA,NA,-31.842,NA,-20.499,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-19.281,NA,NA,NA,NA,NA,NA
L780-20190802-A-02-P2,A7_2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-32.715,-33.093,NA,NA,-24.781,NA,-19.336,NA,-32.049,NA,NA,NA,-28.71,NA,NA,NA,NA,NA,-35.668,NA,NA,NA,-17.063,NA,NA,NA,-31.772,NA,-20.022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-18.018,NA,NA,NA,NA,NA,NA
L853-20190806-G-01-P2,A7_2,NA,NA,NA,NA,-23.469,-15.854,NA,-16.687,-15.015,-22.698,NA,-21.097,-20.57,NA,NA,-23.203,-16.353,-21.702,NA,NA,-18.68,NA,NA,NA,-22.264,-22.944,NA,-19.253,-15.658,NA,NA,NA,NA,-19.27,-20.142,NA,-18.199,NA,NA,-20.07,NA,-16.058,NA,-19.326,NA,NA,NA,NA,-19.041,NA,-21.616,NA,NA,-19.442,NA,NA,-20.298,NA,NA,NA,-21.205,NA,NA,-24.243,-27.195,NA,NA
L853-20190806-G-01-P2,A7_2,NA,NA,NA,NA,-23.464,-17.172,NA,-16.412,-15.01,-21.84,NA,-20.127,-20.759,NA,NA,-22.906,-16.191,-21.871,NA,NA,-18.891,NA,NA,NA,-22.932,-23.33,NA,-18.963,-16.049,NA,NA,NA,NA,-18.548,-20.192,NA,-18.325,NA,NA,-20.501,NA,-15.781,NA,-19.559,NA,NA,NA,NA,-19.97,NA,-21.482,NA,NA,-17.328,NA,NA,-20.408,NA,NA,NA,-21.206,-24.922,NA,-21.162,-22.998,NA,NA
V460-20190803-F-01-P2,A7_2,NA,NA,NA,NA,-24.265,NA,NA,-17.559,-15.496,-20.603,NA,-22.056,-21.186,NA,NA,-16.705,-16.044,-21.278,NA,NA,-18.73,NA,NA,NA,NA,-17.227,NA,-21.972,-17.094,-20.116,-21.947,NA,-15.534,-18.593,-20.136,NA,-17.459,NA,NA,-20.423,NA,-15.064,NA,-18.807,NA,NA,NA,NA,-16.502,NA,-17.707,NA,NA,-15.806,NA,-16.687,-17.622,-20.359,-18.433,-18.429,-18.448,NA,-33.673,-17.49,-25.619,NA,NA
V460-20190803-F-01-P2,A7_2,NA,NA,-21.528,NA,-24.351,NA,NA,-17.622,-15.686,-21.059,NA,-21.598,-21.048,NA,NA,-15.665,-15.329,-21.235,NA,NA,-19.043,NA,NA,NA,NA,-16.925,NA,-22.225,-16.569,-20.769,-21.98,NA,-14.694,-18.822,-20.059,NA,-18.354,NA,NA,-21.17,NA,-14.424,NA,-19.389,NA,NA,NA,NA,-17.269,NA,-17.774,NA,NA,-16.251,NA,-15.673,-17.283,-19.559,-17.973,-18.47,-18.233,NA,-23.792,-20.269,-20.832,NA,NA
L780-20190805-E-07-P2,A7_2,NA,NA,-18.377,NA,-19.163,NA,NA,-16.245,-13.218,-10.344,NA,NA,-15.514,NA,NA,-16.908,-10.923,-15.949,NA,NA,-12.047,NA,NA,NA,NA,NA,NA,-20.598,-19.873,NA,NA,NA,NA,-17.564,-16.211,NA,NA,NA,NA,-15.699,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-16.456,NA,NA,NA,NA,NA,-16.983,NA,NA,NA,-19.446,NA,NA,NA,NA,NA,NA
L780-20190805-E-07-P2,A7_2,NA,NA,-17.621,NA,-19.592,NA,NA,-15.625,-14.223,-11.377,NA,NA,-17.853,NA,NA,-17.978,-13.772,-16.052,NA,NA,-11.742,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-15.314,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-15.937,NA,NA,NA,NA,NA,-16.936,NA,NA,NA,-17.971,NA,NA,NA,NA,NA,NA
L853-20190806-C-01-P2,A7_2,NA,NA,NA,NA,-25.611,NA,NA,-29.087,-30.748,NA,NA,NA,NA,NA,NA,-28.469,NA,-25.6,NA,NA,NA,NA,NA,NA,NA,-28.816,NA,NA,NA,NA,NA,NA,NA,-18.317,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L853-20190806-C-01-P2,A7_2,NA,NA,NA,NA,-25.312,NA,NA,-27.356,-30.309,NA,NA,NA,NA,NA,NA,-28.412,NA,-25.409,NA,NA,NA,NA,NA,NA,NA,-28.419,NA,NA,NA,NA,NA,NA,NA,-18.639,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B140-20190808-C-02-P2,A7_2,NA,NA,NA,NA,-24.321,NA,-16.271,-15.788,-14.599,-21.612,-18.643,NA,-18.062,NA,NA,-22.668,-16.276,-20.094,NA,NA,-16.289,NA,NA,NA,-23.159,-20.349,NA,-16.852,-14.262,-20.347,NA,NA,NA,-16.761,-19.14,NA,-17.916,NA,NA,-18.52,NA,-15.44,NA,-20.377,NA,NA,NA,NA,-19.578,NA,-20.297,NA,-19.529,-17.076,NA,NA,-20.037,-21.303,NA,NA,-20.527,NA,NA,-21.706,-27.784,NA,NA
B140-20190808-C-02-P2,A7_2,NA,NA,NA,NA,-24.687,NA,-16.398,-15.774,-14.419,-22.811,-19.23,NA,-17.927,NA,NA,-22.452,-16.854,-19.99,NA,NA,-16.46,NA,NA,NA,-22.835,-20.571,NA,-16.441,-14.281,-21.013,NA,NA,NA,-16.966,-19.419,NA,-17.63,NA,NA,-18.486,NA,-15.324,NA,-20.092,NA,NA,NA,NA,-19.839,NA,-19.844,NA,-18.76,-19.157,NA,NA,-19.996,-20.743,NA,NA,-20.427,NA,NA,-22.211,-23.874,NA,NA
B140-20190808-B-08-P2,A7_2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-32.244,-32.002,NA,NA,NA,NA,NA,NA,-32.497,NA,NA,NA,-31.175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B140-20190808-B-08-P2,A7_2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-31.973,-31.478,NA,NA,NA,NA,NA,NA,-32.719,NA,NA,NA,-31.123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L490-20190807-B-05-P2,A7_2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-16.425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-20.746,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L490-20190807-B-05-P2,A7_2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-17.018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-20.496,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V460-20190804-C-03-P2,A7_2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-32.99,-31.624,NA,NA,NA,NA,-19.754,NA,-32.267,NA,NA,NA,-31.739,NA,NA,NA,NA,NA,-32.761,NA,NA,NA,NA,NA,NA,-23.953,NA,NA,-18.694,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V460-20190804-C-03-P2,A7_2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-32.952,-31.701,NA,NA,NA,NA,-19.552,NA,-32.142,NA,NA,NA,-31.689,NA,NA,NA,NA,NA,-31.318,NA,NA,NA,NA,NA,NA,-24.082,NA,NA,-19.884,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA