sample_name,sample_fraction
B090-20180731-A-01,B090-20180731-A-01-P2
B090-20180731-A-01,B090-20180731-A-01-P2
B090-20180731-B-01,B090-20180731-B-01-P2
B090-20180731-B-01,B090-20180731-B-01-P2
B090-20190804-G-01,B090-20190804-G-01-P2
B090-20190804-G-01,B090-20190804-G-01-P2
B140-20180802-A-03,B140-20180802-A-03-P2
B140-20180802-A-03,B140-20180802-A-03-P2
B140-20190808-B-07,B140-20190808-B-07-P2
B140-20190808-B-07,B140-20190808-B-07-P2
B140-20190808-B-08,B140-20190808-B-08-P2
B140-20190808-B-08,B140-20190808-B-08-P2
B140-20190808-C-02,B140-20190808-C-02-P2
B140-20190808-C-02,B140-20190808-C-02-P2
L300-20171111-C-48,L300-20171111-C-48-P4
L300-20171111-C-48,L300-20171111-C-48-P4
L300-20180802-A-02,L300-20180802-A-02-P2
L300-20180802-A-02,L300-20180802-A-02-P2
L300-20190804-F-01,L300-20190804-F-01-P2
L300-20190804-F-01,L300-20190804-F-01-P2
L480-20190805-A-11,L480-20190805-A-11-P2
L480-20190805-A-11,L480-20190805-A-11-P2
L480-20190805-F-01,L480-20190805-F-01-P2
L480-20190805-F-01,L480-20190805-F-01-P2
L480-20190811-E-01,L480-20190811-E-01-P2
L480-20190811-E-01,L480-20190811-E-01-P2
L490-20180729-B-01,L490-20180729-B-01-P2
L490-20180729-B-01,L490-20180729-B-01-P2
L490-20180729-C-08,L490-20180729-C-08-P2
L490-20180729-C-08,L490-20180729-C-08-P2
L490-20180729-G-11,L490-20180729-G-11-P2
L490-20180729-G-11,L490-20180729-G-11-P2
L490-20190807-B-05,L490-20190807-B-05-P2
L490-20190807-B-05,L490-20190807-B-05-P2
L780-20190802-A-02,L780-20190802-A-02-P2
L780-20190802-A-02,L780-20190802-A-02-P2
L780-20190805-E-07,L780-20190805-E-07-P2
L780-20190805-E-07,L780-20190805-E-07-P2
L780-20190811-F-01,L780-20190811-F-01-P2
L780-20190811-F-01,L780-20190811-F-01-P2
L820-20180802-B-03,L820-20180802-B-03-P2
L820-20180802-B-03,L820-20180802-B-03-P2
L820-20190808-B-03,L820-20190808-B-03-P2
L820-20190808-B-03,L820-20190808-B-03-P2
L820-20190808-E-01,L820-20190808-E-01-P2
L820-20190808-E-01,L820-20190808-E-01-P2
L853-20180731-G-01,L853-20180731-G-01-P2
L853-20180731-G-01,L853-20180731-G-01-P2
L853-20180801-A-03,L853-20180801-A-03-P2
L853-20180801-A-03,L853-20180801-A-03-P2
L853-20180801-F-01,L853-20180801-F-01-P2
L853-20180801-F-01,L853-20180801-F-01-P2
L853-20180801-F-01,L853-20180801-F-01-P3
L853-20180801-F-01,L853-20180801-F-01-P3
L853-20180801-F-01,L853-20180801-F-01-P4
L853-20180801-F-01,L853-20180801-F-01-P4
L853-20190806-C-01,L853-20190806-C-01-P2
L853-20190806-C-01,L853-20190806-C-01-P2
L853-20190806-G-01,L853-20190806-G-01-P2
L853-20190806-G-01,L853-20190806-G-01-P2
V460-20180730-C-54,V460-20180730-C-54-P2
V460-20180730-C-54,V460-20180730-C-54-P2
V460-20180731-E-01,V460-20180731-E-01-P2
V460-20180731-E-01,V460-20180731-E-01-P2
V460-20180731-F-04,V460-20180731-F-04-P2
V460-20180731-F-04,V460-20180731-F-04-P2
V460-20180731-I-07,V460-20180731-I-07-P2
V460-20180731-I-07,V460-20180731-I-07-P2
V460-20190803-F-01,V460-20190803-F-01-P2
V460-20190803-F-01,V460-20190803-F-01-P2
V460-20190804-C-03,V460-20190804-C-03-P2
V460-20190804-C-03,V460-20190804-C-03-P2
V460-20190810-A-09,V460-20190810-A-09-P2
V460-20190810-A-09,V460-20190810-A-09-P2
V460-20190810-A-32,V460-20190810-A-32-P2
V460-20190810-A-32,V460-20190810-A-32-P2
L480-20171108-D-51,L480-20171108-D-51-P2
L480-20171108-D-51,L480-20171108-D-51-P2
L480-20171108-D-61,L480-20171108-D-61-P2
L480-20171108-D-61,L480-20171108-D-61-P2
L480-20171108-D-80,L480-20171108-D-80-P2
L480-20171108-D-80,L480-20171108-D-80-P2
L480-20171113-E-03,L480-20171113-E-03-P2
L480-20171113-E-03,L480-20171113-E-03-P2
L780-20171109-A-36,L780-20171109-A-36-P2
L780-20171109-A-36,L780-20171109-A-36-P2
L300-20171027-B-20,L300-20171027-B-20-P2
L300-20171027-B-20,L300-20171027-B-20-P2